,Disease,Symptom
45,arthritis,   asthenia  syncope                    sleeplessness                                                          swelling       hemodynamically_stable                                                                                              distended_abdomen                                general_unsteadiness                                                                                                                                                                                       
46,bronchitis,                                            cough           wheezing haemoptysis    night_sweat  dyspnea                                                                                                                                                            snuffle hacking_cough                                                                                                                                                                                    
47,hemiparesis,                unresponsiveness                                                 facial_paresis hemiplegia seizure                                                                                                                                                           aphagia                                                                                                                                                                                 
48,osteoporosis,                                                                                                                                                                                                                                      hirsutism sniffle  out_of_breath urge_incontinence                                                                                                                                                                     
49,transient ischemic attack,     syncope                                difficulty                          dysarthria  facial_paresis   numbness                                                      lightheadedness                                                                                                                   rambling_speech                                                                                                                                                                  
50,adenocarcinoma,                                                                            pain                                                                decreased_body_weight                                                                                      fremitus             decreased_stool_caliber hematochezia                                                                                                                                                               
51,paranoia,                           irritable_mood   hallucinations_visual      energy_increased                                                                                                                                                                                                              cicatrisation_scar_tissue  decompensation                                                                                                                                                           
52,pancreatitis,         nausea         vomiting                                                               diarrhea   apyrexial                                                                                                                                                                                                                                                                                                                           
53,incontinence,                unresponsiveness                 tremor                                                                                                                                            aura                                                                           moody  spasm                                                                                                                                                     
54,paroxysmal dyspnea,       sweat_sweating_increased       orthopnea                                               jugular_venous_distention dyspnea                                                                                                                                                                                                                                                                                                                                                 
55,hernia,   asthenia                                                                         pain        apyrexial             haemorrhage                                                                                                                                                          hyperventilation excruciating_pain                                                                                                                                                   
56,malignant neoplasm of prostate carcinoma prostate,   asthenia                                                                                             tumor_cell_invasion                                            decreased_body_weight                                                                                 paresis             urge_incontinence                                                                                                                                                                     
57,edema pulmonary,pain_chest               rale                                        wheezing                   chest_discomfort                                        urgency_of micturition  hypotension                                                                         sinus_rhythm                                                                                                                                                                                                                  
58,lymphatic diseases,                                                   chill   non-productive_cough      night_sweat                pain                                                                decreased_body_weight                                                                                                     egophony                                                                                                                                                              
59,stenosis aortic valve,     syncope     angina_pectoris                                dyspnea_on_exertion                                chest_discomfort  pain                                                                                                                                                                                                                                                                                                                                   
60,malignant neoplasm of breast carcinoma breast,                                     difficulty                         dyspnea                erythema                                                      mass_of_body_structure   formication                burning_sensation                                                                                                                                                                                                                                                        
61,schizophrenia,                     suicidal hallucinations_auditory     irritable_mood    worry agitation   verbal_auditory_hallucinations                                                                                                                                                                                                                                                                                                                                                                            
62,diverticulitis,                  vomiting                           fever                                     abscess_bacterial                             abdominal_tenderness                                             pain_abdominal                                                                                                                  dullness                                                                                                                                 
63,overload fluid,              orthopnea rale                                              jugular_venous_distention                      swelling                                              drowsiness_sleepy weight_gain                                                                                                                                               hypokalemia                                                                                                                              
64,ulcer peptic,                                                                                    apyrexial                                                  nervousness                                         gurgle                                                                                                   hunger                                                                                                                             
65,osteomyelitis,                                                                            pain               difficulty_passing_urine                                                       redness                                                                                                                                  pain_foot urinary_hesitation                                                                                                                          
66,gastritis,                                  intoxication                                          pain                     haemorrhage                                                     sore_to_touch                                                                                                                                disequilibrium                                                                                                                         
67,bacteremia,                unresponsiveness  vomiting                                                                                             abdominal_tenderness                                                                                                                                                                         indifferent_mood urinoma  pustule                                                                                                                    
68,failure kidney,              orthopnea                                                                                                      hypotension enuresis                                                                                                                                                                         no_status_change                                                                                                                 
69,sickle cell anemia,pain_chest                                                                            pain   hepatosplenomegaly     apyrexial                 pain_back                                                                                                                     snuffle                                                                                                                                                                                     
70,failure heart, shortness_of_breath                                        hypokinesia                                                          fatigue                                                                                                                                                                                              systolic_ejection_murmur                                                                                                              
71,upper respiratory infection,                                                       wheezing     night_sweat                              hemodynamically_stable                                                                                                                               throat_sore snuffle                                                                           noisy_respiration                                                                                                          
72,hepatitis,                  vomiting                                        tachypnea                      pruritus                                   ascites                            spontaneous_rupture_of_membranes                                                                                                                                                          projectile_vomiting                                                                                                      
73,hypertension pulmonary,                                                                                                                                                               cyanosis           neck_stiffness       left atrial hypertrophy                                                                                                                         heavy_legs                                                                                                     
74,deglutition disorder,                                                                                                                                         lesion   decreased_body_weight                                                                                                              spasm          ataxia                                        dysdiadochokinesia achalasia                                                                                                  
75,gout,                                                                              erythema     swelling                                ascites                     hot_flush                                                                                                                                                                                                                                                                       
76,thrombocytopaenia,                                             fever             tachypnea                      pruritus                 haemorrhage  fatigue                 hypotension                                                                                                                                                                                            posterior rhinorrhea                                                                                               
77,hypoglycemia,            polyuria    unresponsiveness                                         distress_respiratory                                                                                                                                                                                                          qt_interval_prolonged                                              incoherent lameness_claudication clammy_skin                                                                                            
78,pneumonia aspiration,                 mental_status_changes                            fever                      seizure         pain                            transaminitis                                                    pain_abdominal                                                                                                                                                                                                                                                   
79,colitis,                                                                            pain                                                                  thicken              pain_abdominal                                                                                                                                                          awakening_early tenesmus                                                                                        
80,diverticulosis,         nausea                                                                   pain      abscess_bacterial               haemorrhage   heme_positive                                                                                                                                                                                                                    fecaluria                                                                                       
81,suicide attempt,                        weepiness   irritable_mood blackout    agitation     difficulty                                                                                                                                                                                                                                                                                                                                                                          
82,Pneumocystis carinii pneumonia,                                          dyspnea_on_exertion     productive_cough    chill                                                     transaminitis                                       spontaneous_rupture_of_membranes                                                                                                                                                                             myalgia dyspareunia                                                                                  
83,hepatitis B,                                                          tachypnea                                                     abdominal_tenderness                                             pain_abdominal                    wheelchair_bound                                                                                                                         projectile_vomiting                       inappropriate_affect                                                                               
84,parkinson disease,    fall            unresponsiveness               worry agitation                                  hemiplegia                    hematuria                                         stiffness                                                                                                                                                                                                                                                                                
85,lymphoma,                                                                                           difficulty_passing_urine             transaminitis                                                                                                                                                            ataxia                                                                 hydropneumothorax                                                                          
86,hyperglycemia,                                                                                pruritus                                   ascites                       cushingoid_facies_cushingoid habitus                                                                                                                                                 pustule                                            feeling_strange                                                                        
87,encephalopathy,                                                                                            consciousness_clear     haemorrhage                                drowsiness_sleepy                                            aura                                                                                                                                                           uncoordination                                                                       
88,tricuspid valve insufficiency, shortness_of_breath                                                                           pain                                                                                               cicatrisation                                                                                                                                         mediastinal_shift                                                                                           
89,Alzheimer's disease,                                agitation                    rhonchus             facial_paresis                                                hyperkalemia      muscle_twitch                                                                                                                                                                                                                      drool pin-point_pupils                                                                 
90,candidiasis oralcandidiasis,                                                      non-productive_cough                                                         abdominal_tenderness                                                                                                          throat_sore                                                                                                     poor_dentition                   adverse_reaction_adverse_effect                                                              
91,neuropathy,   asthenia                                                                 numbness                                                                                                                                                                                                                                                 nausea_and_vomiting awakening_early tenesmus                            fatigability                                                            
